,Player,Position,Team,Opponent,Salary,% ownership
0,Woody Marks,RB,HOU,ARI,"$5,600",30.5%
1,Puka Nacua,WR,LAR,DET,"$8,700",29.5%
2,Christian McCaffrey,RB,SF,TEN,"$9,000",27.2%
3,Ja'Marr Chase,WR,CIN,BAL,"$8,100",24.0%
4,Jaxon Smith-Njigba,WR,SEA,IND,"$8,600",18.6%
5,Jahmyr Gibbs,RB,DET,LAR,"$8,800",16.9%
6,Derrick Henry,RB,BAL,@CIN,"$7,300",16.3%
7,Kenneth Walker III,RB,SEA,IND,"$5,600",16.2%
8,Harold Fannin Jr.,TE,CLE,@CHI,"$4,000",16.2%
9,Amon-Ra St. Brown,WR,DET,LAR,"$7,900",15.7%
10,Nico Collins,WR,HOU,ARI,"$6,700",15.6%
11,George Kittle,TE,SF,TEN,"$5,400",14.1%
12,Theo Johnson,TE,NYG,WAS,"$3,500",13.9%
13,Saquon Barkley,RB,PHI,LV,"$7,100",13.5%
14,Wan'Dale Robinson,WR,NYG,WAS,"$5,900",12.3%
15,Mark Andrews,TE,BAL,@CIN,"$3,900",12.2%
16,Jauan Jennings,WR,SF,TEN,"$5,200",11.9%
17,C.J. Stroud,QB,HOU,ARI,"$5,200",11.8%
18,Michael Wilson,WR,ARI,@HOU,"$6,600",11.7%
19,Mitch Tinsley,WR,CIN,BAL,"$3,100",11.6%
20,Davante Adams,WR,LAR,DET,"$7,200",11.3%
21,AJ Barner,TE,SEA,IND,"$3,200",11.0%
22,Terry McLaurin,WR,WAS,@NYG,"$5,400",11.0%
23,Lamar Jackson,QB,BAL,@CIN,"$6,400",10.9%
24,Jameson Williams,WR,DET,LAR,"$6,100",10.3%
25,Travis Etienne Jr.,RB,JAX,NYJ,"$6,500",10.1%
26,Zay Flowers,WR,BAL,@CIN,"$6,300",10.0%
27,Jakobi Meyers,WR,JAX,NYJ,"$5,600",9.8%
28,Tetairoa McMillan,WR,CAR,@NO,"$6,000",9.7%
29,Mike Gesicki,TE,CIN,BAL,"$3,300",9.4%
30,Isaiah Likely,TE,BAL,@CIN,"$3,400",9.1%
31,Ashton Jeanty,RB,LV,@PHI,"$5,800",9.1%
33,Colby Parkinson,TE,LAR,DET,"$3,200",8.8%
34,Jaxson Dart,QB,NYG,WAS,"$5,600",8.8%
36,Matthew Stafford,QB,LAR,DET,"$7,000",8.0%
37,Devin Neal,RB,NO,CAR,"$5,300",7.7%
38,Brock Purdy,QB,SF,TEN,"$6,200",7.5%
39,A.J. Brown,WR,PHI,LV,"$6,800",7.4%
41,Trevor Lawrence,QB,JAX,NYJ,"$5,700",7.2%
42,Christian Watson,WR,GB,@DEN,"$5,500",7.2%
43,Josh Jacobs,RB,GB,@DEN,"$6,900",7.1%
44,RJ Harvey,RB,DEN,GB,"$6,000",6.9%
45,Marcus Mariota,QB,WAS,@NYG,"$5,000",6.8%
46,Tyrone Tracy Jr.,RB,NYG,WAS,"$5,500",6.7%
47,Dalton Schultz,TE,HOU,ARI,"$4,100",6.5%
50,Adonai Mitchell,WR,NYJ,@JAX,"$4,400",5.9%
52,James Cook III,RB,BUF,@NE,"$8,000",5.7%
53,Juwan Johnson,TE,NO,CAR,"$3,700",5.7%
54,Quinshon Judkins,RB,CLE,@CHI,"$6,300",5.5%
55,Brenton Strange,TE,JAX,NYJ,"$4,200",5.5%
58,Jayden Higgins,WR,HOU,ARI,"$4,200",5.2%
59,DeVonta Smith,WR,PHI,LV,"$5,800",5.1%
60,Chase Brown,RB,CIN,BAL,"$6,700",5.1%
61,Jayden Reed,WR,GB,@DEN,"$4,500",5.0%
62,Sam Darnold,QB,SEA,IND,"$5,800",4.9%
63,Rashee Rice,WR,KC,LAC,"$7,700",4.9%
66,Joe Burrow,QB,CIN,BAL,"$6,600",4.7%
68,Chris Olave,WR,NO,CAR,"$6,200",4.5%
70,Chuba Hubbard,RB,CAR,@NO,"$4,600",4.3%
71,Deebo Samuel Sr.,WR,WAS,@NYG,"$5,300",4.0%
72,Courtland Sutton,WR,DEN,GB,"$5,500",3.9%
73,Evan Engram,TE,DEN,GB,"$3,100",3.9%
75,Breece Hall,RB,NYJ,@JAX,"$6,200",3.8%
76,John Metchie III,WR,NYJ,@JAX,"$4,300",3.8%
78,Dallas Goedert,TE,PHI,LV,"$3,800",3.7%
79,Hunter Henry,TE,NE,BUF,"$4,400",3.7%
80,Gunnar Helm,TE,TEN,@SF,"$2,800",3.4%
81,Dalton Kincaid,TE,BUF,@NE,"$4,500",3.4%
82,Josh Allen,QB,BUF,@NE,"$7,500",3.4%
83,Brian Thomas Jr.,WR,JAX,NYJ,"$5,700",3.4%
84,Colston Loveland,TE,CHI,CLE,"$3,600",3.3%
85,Kyren Williams,RB,LAR,DET,"$6,800",3.3%
86,Stefon Diggs,WR,NE,BUF,"$6,000",3.2%
87,Drake Maye,QB,NE,BUF,"$6,700",3.1%
88,Elic Ayomanor,WR,TEN,@SF,"$3,500",3.1%
89,Travis Kelce,TE,KC,LAC,"$4,900",3.1%
91,Jalen Hurts,QB,PHI,LV,"$6,800",3.0%
92,Zonovan Knight,RB,ARI,@HOU,"$4,900",3.0%
93,Jared Goff,QB,DET,LAR,"$6,100",3.0%
94,Jordan Love,QB,GB,@DEN,"$5,400",2.9%
96,Mason Taylor,TE,NYJ,@JAX,"$3,100",2.8%
97,Xavier Worthy,WR,KC,LAC,"$4,500",2.7%
98,Caleb Williams,QB,CHI,CLE,"$5,300",2.4%
99,Devaughn Vele,WR,NO,CAR,"$4,200",2.4%
100,Trey McBride,TE,ARI,@HOU,"$7,400",2.4%
101,Chris Rodriguez Jr.,RB,WAS,@NYG,"$4,900",2.3%
102,Patrick Mahomes,QB,KC,LAC,"$6,500",2.3%
103,Tyler Shough,QB,NO,CAR,"$4,900",2.3%
104,Rico Dowdle,RB,CAR,@NO,"$6,600",2.3%
106,TreVeyon Henderson,RB,NE,BUF,"$6,100",2.1%
108,Tony Pollard,RB,TEN,@SF,"$5,200",2.1%
109,Cooper Kupp,WR,SEA,IND,"$4,100",2.1%
111,Jalen Coker,WR,CAR,@NO,"$3,900",2.1%
112,D'Andre Swift,RB,CHI,CLE,"$5,700",2.0%
113,Ricky Pearsall,WR,SF,TEN,"$5,100",2.0%
115,Chimere Dike,WR,TEN,@SF,"$4,300",1.8%
116,Jerry Jeudy,WR,CLE,@CHI,"$4,400",1.8%
117,Khalil Shakir,WR,BUF,@NE,"$5,300",1.7%
118,Bryce Young,QB,CAR,@NO,"$5,100",1.7%
119,Bo Nix,QB,DEN,GB,"$5,900",1.7%
120,Brandin Cooks,WR,BUF,@NE,"$3,100",1.7%
121,Tyler Warren,TE,IND,@SEA,"$4,700",1.6%
123,Rashid Shaheed,WR,SEA,IND,"$4,600",1.6%
124,Luther Burden III,WR,CHI,CLE,"$4,800",1.6%
125,Mack Hollins,WR,NE,BUF,"$4,000",1.6%
126,Kyle Monangai,RB,CHI,CLE,"$5,200",1.5%
127,Noah Brown,WR,WAS,@NYG,"$3,200",1.5%
128,Tyjae Spears,RB,TEN,@SF,"$4,700",1.5%
129,Jacoby Brissett,QB,ARI,@HOU,"$5,500",1.4%
130,Rhamondre Stevenson,RB,NE,BUF,"$5,100",1.4%
131,Rashod Bateman,WR,BAL,@CIN,"$3,400",1.4%
132,Tre Tucker,WR,LV,@PHI,"$4,200",1.3%
133,Devin Singletary,RB,NYG,WAS,"$5,000",1.3%
134,John Bates,TE,WAS,@NYG,"$2,900",1.3%
136,Cole Kmet,TE,CHI,CLE,"$2,600",1.1%
137,Isaiah Hodgins,WR,NYG,WAS,"$3,400",1.1%
139,Romeo Doubs,WR,GB,@DEN,"$4,700",1.1%
140,Jack Bech,WR,LV,@PHI,"$3,200",1.1%
141,DJ Moore,WR,CHI,CLE,"$5,000",1.1%
142,Oronde Gadsden II,TE,LAC,@KC,"$4,300",1.1%
143,Brock Bowers,TE,LV,@PHI,"$5,900",1.0%
144,Kayshon Boutte,WR,NE,BUF,"$5,000",1.0%
145,Jonathan Taylor,RB,IND,@SEA,"$8,500",1.0%
146,Andrei Iosivas,WR,CIN,BAL,"$4,100",0.9%
147,Blake Corum,RB,LAR,DET,"$4,800",0.9%
148,Cam Ward,QB,TEN,@SF,"$4,600",0.9%
149,Darius Slayton,WR,NYG,WAS,"$4,400",0.9%
150,Quentin Johnston,WR,LAC,@KC,"$4,900",0.8%
151,Xavier Legette,WR,CAR,@NO,"$3,700",0.8%
152,Ja'Tavion Sanders,TE,CAR,@NO,"$2,500",0.8%
153,Zach Charbonnet,RB,SEA,IND,"$5,100",0.8%
154,Tim Patrick,WR,JAX,NYJ,"$3,700",0.8%
155,Alec Pierce,WR,IND,@SEA,"$4,900",0.8%
157,Michael Pittman Jr.,WR,IND,@SEA,"$5,100",0.7%
158,Keenan Allen,WR,LAC,@KC,"$4,800",0.7%
159,Shedeur Sanders,QB,CLE,@CHI,"$4,700",0.6%
160,Olamide Zaccheaus,WR,CHI,CLE,"$3,300",0.6%
161,Michael Carter,RB,ARI,@HOU,"$4,200",0.6%
163,Ladd McConkey,WR,LAC,@KC,"$6,400",0.6%
165,Xavier Smith,WR,LAR,DET,"$3,000",0.5%
166,Justin Herbert,QB,LAC,@KC,"$6,300",0.3%
167,Philip Rivers,QB,IND,@SEA,"$4,900",0.2%
168,Brady Cook,QB,NYJ,@JAX,"$4,300",0.1%
169,Kenny Pickett,QB,LV,@PHI,"$4,500",0.1%
